"Plot";"Subplot";"herb1";"Plant";"fv1";"sal"
3;"A2";7;"HOMA";0;0,985
3;"A3";0;"SCLA";0;0,895
3;"A3";0;"BEMA";0;0,895
3;"A3";0;"CHFU";0;0,895
3;"A3";3;"HOMA";0;0,895
3;"A3";0;"CHMI";0;0,895
3;"A4";0;"CHMI";0;0,781
3;"A4";0;"BEMA";0;0,781
3;"A4";1;"LEMA";6;0,781
3;"A4";3;"HOMA";0;0,781
3;"A4";0;"CHMI";0;0,781
3;"A4";0;"CHMI";0;0,781
3;"B1";0;"CHFU";0;0,991
3;"B1";0;"CHMI";0;0,991
3;"B1";7;"HOMA";0;0,991
3;"B1";0;"LEMA";1;0,991
3;"B2";0;"CHMI";0;0,85
3;"B2";1;"LEMA";2;0,85
3;"B2";0;"CHMI";0;0,85
3;"B2";7;"HOMA";0;0,85
3;"B2";0;"BEMA";0;0,85
3;"B3";0;"CHFU";1;0,727
3;"B3";1;"LEMA";2;0,727
3;"B3";0;"CHMI";0;0,727
3;"B3";6;"HOMA";0;0,727
3;"B3";0;"BEMA";0;0,727
3;"B4";0;"SCLA";0;0,877
3;"B4";0;"SCLA";0;0,877
3;"B4";0;"CHMI";0;0,877
3;"B4";6;"HOMA";0;0,877
3;"B5";0;"SCLA";0;0,716
3;"B5";7;"HOMA";0;0,716
3;"B5";0;"BEMA";0;0,716
3;"B5";1;"LEMA";6;0,716
3;"B5";0;"SCLA";0;0,716
3;"B6";0;"CHFU";1;1,122
3;"B6";3;"HOMA";0;1,122
3;"B6";0;"BEMA";0;1,122
3;"B6";1;"LEMA";5;1,122
9;"D1";2;"SOAS";2;0,661
9;"D1";9;"LEMA";5;0,661
9;"D1";0;"CHFU";2;0,661
9;"D1";0;"BEMA";0;0,661
9;"D2";0;"CHFU";4;0,739
9;"D2";0;"BEMA";0;0,739
9;"D2";3;"SOAS";0;0,739
9;"D2";3;"LEMA";5;0,739
9;"D3";3;"CHFU";5;0,605
9;"D3";0;"BEMA";0;0,605
9;"D3";1;"SOAS";0;0,605
9;"D3";0;"LEMA";7;0,605
9;"D5";1;"SOAS";0;0,453
9;"D5";0;"LEMA";2;0,453
9;"D5";0;"BEMA";0;0,453
9;"D5";0;"SCLA";0;0,453
9;"D5";0;"CHFU";1;0,453
9;"D6";0;"SCLA";0;0,621
9;"D6";0;"CHFU";3;0,621
9;"D6";1;"BEMA";0;0,621
9;"D6";2;"LEMA";2;0,621
9;"D6";1;"SOAS";0;0,621
9;"E1";0;"BEMA";0;0,614
9;"E1";0;"LEMA";2;0,614
9;"E1";0;"CHFU";5;0,614
9;"E1";5;"SOAS";0;0,614
9;"E2";0;"BEMA";0;0,801
9;"E2";0;"LEMA";3;0,801
9;"E2";0;"CHFU";6;0,801
9;"E2";1;"SOAS";0;0,801
9;"E2";0;"SPRU";0;0,801
9;"E3";0;"LEMA";3;0,856
9;"E3";16;"SOAS";0;0,856
9;"E3";0;"BEMA";0;0,856
9;"E3";0;"CHFU";6;0,856
9;"E4";0;"SCLA";0;0,772
9;"E4";0;"LEMA";2;0,772
9;"E4";1;"CHFU";4;0,772
9;"E4";0;"BEMA";0;0,772
9;"E5";3;"SOAS";0;0,641
9;"E5";0;"CHFU";11;0,641
9;"E5";0;"BEMA";0;0,641
9;"E5";2;"LEMA";3;0,641
9;"E5";0;"SCLA";0;0,641
9;"E6";0;"SCLA";0;0,476
9;"E6";2;"SOAS";0;0,476
9;"E6";0;"CHFU";5;0,476
9;"E6";1;"LEMA";10;0,476
9;"E6";0;"BEMA";0;0,476
9;"F1";0;"BEMA";0;1,599
9;"F1";1;"CHFU";2;1,599
9;"F1";0;"LEMA";1;1,599
9;"F1";0;"SPRU";0;1,599
9;"F2";0;"CHFU";1;1,543
9;"F2";0;"BEMA";0;1,543
9;"F2";0;"SPRU";0;1,543
9;"F3";0;"BEMA";0;1,381
9;"F3";0;"CHFU";1;1,381
9;"F3";0;"LEMA";0;1,381
9;"F3";0;"SPRU";0;1,381
9;"F4";0;"CHFU";6;0,122
9;"F4";0;"LEMA";0;0,122
9;"F4";0;"BEMA";0;0,122
9;"F5";0;"BEMA";0;0,786
9;"F5";14;"CHFU";13;0,786
9;"F5";0;"SOAS";0;0,786
9;"F5";0;"LEMA";0;0,786
9;"F5";0;"SPRU";0;0,786
9;"F5";0;"SCLA";0;0,786
9;"F6";0;"BEMA";0;0,57
9;"F6";0;"LEMA";5;0,57
9;"F6";2;"SOAS";0;0,57
9;"F6";0;"SCLA";0;0,57
9;"F6";0;"CHFU";9;0,57
9;"A1";5;"SOAS";0;0,523
9;"A1";3;"SCLA";0;0,523
9;"A1";0;"LEMA";2;0,523
9;"A1";0;"BEMA";0;0,523
9;"A2";2;"SOAS";0;0,517
9;"A2";1;"SCLA";0;0,517
9;"A2";0;"CHFU";3;0,517
9;"A2";0;"BEMA";0;0,517
