Day;Month;Year;Sensor;Plot;Subplot;Moisture;Salinity;Observer;Observations
13;12;2019;10;8;C6;20,4;0.004;Oscar and Maria ;
13;12;2019;10;8;D1;NA;0.145;Oscar and Maria ;
13;12;2019;10;8;D2;NA;0.172;Oscar and Maria ;
13;12;2019;10;8;D3;22,6;0.064;Oscar and Maria ;
13;12;2019;10;8;D4;NA;0.065;Oscar and Maria ;
13;12;2019;10;8;D5;NA;0.178;Oscar and Maria ;
13;12;2019;10;8;D6;NA;0.213;Oscar and Maria ;
13;12;2019;10;8;E1;NA;0.174;Oscar and Maria ;
13;12;2019;10;8;E2;NA;0.115;Oscar and Maria ;
13;12;2019;10;8;E3;NA;0.133;Oscar and Maria ;
13;12;2019;10;8;E4;22,7;0.085;Oscar and Maria ;
13;12;2019;10;8;E5;22,7;0.105;Oscar and Maria ;
13;12;2019;10;8;E6;18,8;0.073;Oscar and Maria ;
13;12;2019;10;8;F1;NA;0.191;Oscar and Maria ;
13;12;2019;10;8;F2;NA;0.147;Oscar and Maria ;
13;12;2019;10;8;F3;NA;0.135;Oscar and Maria ;
13;12;2019;10;8;F4;NA;0.164;Oscar and Maria ;
13;12;2019;10;8;F5;NA;0.076;Oscar and Maria ;
13;12;2019;10;8;F6;NA;0.119;Oscar and Maria ;
13;12;2019;10;9;A1;10,1;0.032;Oscar and Maria ;
13;12;2019;10;9;A2;NA;0.133;Oscar and Maria ;
13;12;2019;10;9;A3;NA;0.138;Oscar and Maria ;
13;12;2019;10;9;A4;NA;0.119;Oscar and Maria ;
13;12;2019;10;9;A5;24,2;0.094;Oscar and Maria ;
13;12;2019;10;9;A6;NA;0.107;Oscar and Maria ;
13;12;2019;10;9;B1;NA;0.142;Oscar and Maria ;
13;12;2019;10;9;B2;27,6;0.16;Oscar and Maria ;
13;12;2019;10;9;B3;NA;0.188;Oscar and Maria ;
13;12;2019;10;9;B4;23,7;0.081;Oscar and Maria ;
13;12;2019;10;9;B5;36,1;0.128;Oscar and Maria ;
13;12;2019;10;9;B6;NA;0.064;Oscar and Maria ;
13;12;2019;10;9;C1;43,5;0.145;Oscar and Maria ;
13;12;2019;10;9;C2;NA;0.147;Oscar and Maria ;
