day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
1;28;2019;5;B3;42.8;0.188;0.188;10;;;
1;28;2019;5;B4;42.1;0.212;0.212;10;;;
1;28;2019;5;B5;42.9;0.252;0.252;10;;;
1;28;2019;5;B6;14.1;0.130;0.130;5;;;
1;28;2019;5;C1;41.2;0.121;0.121;5;;;
1;28;2019;5;C2;42.5;0.246;0.246;10;;;
1;28;2019;5;C3;42.7;0.223;0.223;10;;;
1;28;2019;5;C4;16.3;0.145;0.145;5;;;
1;28;2019;5;C5;43.5;0.234;0.234;10;;;
1;28;2019;5;C6;17.8;0.159;0.159;5;;;
1;28;2019;5;D1;42.3;0.253;0.253;10;;;
1;28;2019;5;D2;12.8;0.171;0.171;5;;;
1;28;2019;5;D3;13.1;0.149;0.149;5;;;
1;28;2019;5;D4;11.8;0.126;0.126;5;;;
1;28;2019;5;D5;19.3;0.205;0.205;5;;;
1;28;2019;5;D6;17.2;0.179;0.179;5;;;
1;28;2019;5;E1;11.0;0.125;0.125;5;;;
1;28;2019;5;E2;14.1;0.191;0.191;5;;;
1;28;2019;5;E3;41.8;0.281;0.281;10;;;
1;28;2019;5;E4;41.7;0.252;0.252;10;;;
1;28;2019;5;E5;41.5;0.204;0.204;10;;;
1;28;2019;5;E6;42.2;0.198;0.198;10;;;
1;28;2019;5;F1;42.8;0.251;0.251;10;;;
1;28;2019;5;F2;39.0;0.187;0.187;10;;;
1;28;2019;5;F3;34.0;0.158;0.158;10;;;
1;28;2019;5;F4;42.3;0.190;0.190;10;;;
1;28;2019;5;F5;38.2;0.188;0.188;10;;;
1;28;2019;5;F6;40.6;0.201;0.201;10;;;
1;28;2019;6;A1;12.7;0.182;0.182;5;;;
1;28;2019;6;A2;17.3;0.140;0.140;5;;;
1;28;2019;6;A3;17.2;0.141;0.141;5;;;
1;28;2019;6;A4;17.2;0.141;0.141;5;;;
1;28;2019;6;A5;18.7;0.169;0.169;5;;;
1;28;2019;6;A6;18.4;0.177;0.177;5;;;
1;28;2019;6;B1;15.3;0.184;0.184;5;;;
1;28;2019;6;B2;20.0;0.249;0.249;5;;;
1;28;2019;6;B3;19.4;0.197;0.197;5;;;
1;28;2019;6;B4;20.2;0.214;0.214;5;;;
1;28;2019;6;B5;19.6;0.191;0.191;5;;;
1;28;2019;6;B6;13.1;0.151;0.151;5;;;
1;28;2019;6;C1;15.6;0.156;0.156;5;;;
1;28;2019;6;C2;43.6;0.300;0.300;10;;;
1;28;2019;6;C3;43.9;0.301;0.301;10;;;
1;28;2019;6;C4;17.4;0.171;0.171;5;;;
1;28;2019;6;C5;18.1;0.191;0.191;5;;;
1;28;2019;6;C6;19.3;0.178;0.178;5;;;
1;28;2019;6;D1;19.4;0.190;0.190;5;;;
1;28;2019;6;D2;18.3;0.169;0.169;5;;;
1;28;2019;6;D3;16.1;0.171;0.171;5;;;
1;28;2019;6;D4;17.2;0.177;0.177;5;;;
1;28;2019;6;D5;18.4;0.196;0.196;5;;;
1;28;2019;6;D6;17.4;0.186;0.186;5;;;
1;28;2019;6;E1;18.4;0.209;0.209;5;;;
1;28;2019;6;E2;17.9;0.186;0.186;5;;;
1;28;2019;6;E3;17.7;0.169;0.169;5;;;
1;28;2019;6;E4;18.6;0.176;0.176;5;;;
1;28;2019;6;E5;18.8;0.202;0.202;5;;;
1;28;2019;6;E6;14.6;0.145;0.145;5;;;
1;28;2019;6;F1;37.7;0.277;0.277;10;;;
1;28;2019;6;F2;19.3;0.205;0.205;5;;;
1;28;2019;6;F3;17.6;0.168;0.168;5;;;
1;28;2019;6;F4;45.2;0.241;0.241;10;;;
1;28;2019;6;F5;16.9;0.157;0.157;5;;;
1;28;2019;6;F6;43.5;0.212;0.212;10;;;
1;28;2019;7;A1;12.3;0.108;0.108;5;;;
1;28;2019;7;A2;17.7;0.197;0.197;5;;;
1;28;2019;7;A3;18.9;0.244;0.244;5;;;
1;28;2019;7;A4;44.7;0.230;0.230;10;;;
1;28;2019;7;A5;42.3;0.181;0.181;10;;;
1;28;2019;7;A6;44.0;0.191;0.191;10;;;
1;28;2019;7;B1;18.9;0.183;0.183;5;;;
1;28;2019;7;B2;14.4;0.167;0.167;5;;;
1;28;2019;7;B3;16.2;0.181;0.181;5;;;
1;28;2019;7;B4;45.5;0.184;0.184;10;;;
1;28;2019;7;B5;44.5;0.176;0.176;10;;;
1;28;2019;7;B6;45.0;0.180;0.180;10;;;
1;28;2019;7;C1;19.7;0.212;0.212;5;;;
1;28;2019;7;C2;14.3;0.156;0.156;5;;;
1;28;2019;7;C3;43.4;0.248;0.248;10;;;
1;28;2019;7;C4;44.9;0.175;0.175;10;;;
1;28;2019;7;C5;44.4;0.187;0.187;10;;;
1;28;2019;7;C6;43.8;0.172;0.172;10;;;
1;28;2019;7;D1;12.3;0.218;0.218;5;;;
1;28;2019;7;D2;11.8;0.137;0.137;5;;;
