"focal";"fitness";"BEMA";"CHFU";"CHMI";"CETE";"HOMA";"LEMA";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SPRU";"MESU";"MEEL";"MEPO";"SOAS";"FRPU";"SUSP";"COSQ";"RAPE";"plot";"subplot"
"LEMA";1334;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"C5"
"CHFU";128;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"C5"
"LEMA";928;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"C6"
"BEMA";308;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"C6"
"HOMA";20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D1"
"LEMA";928;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D1"
"CHFU";32;2;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D1"
"LEMA";696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D2"
"BEMA";72;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D2"
"SCLA";93;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D2"
"CHFU";1024;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D3"
"BEMA";204;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"D3"
"SCLA";31;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D3"
"CHFU";96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D3"
"LEMA";232;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D3"
"LEMA";754;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D4"
"BEMA";292;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D4"
"SOAS";275;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D4"
"SCLA";155;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D4"
"CHFU";64;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D5"
"BEMA";84;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D5"
"HOMA";40;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D5"
"LEMA";1102;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D5"
"BEMA";48;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"D6"
